mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.027420838673909504,0.001897793292641909,0.026482423146565754,0.0008490249150808978,balanced,2,15,8,"{'model__class_weight': 'balanced', 'model__max_depth': 2, 'model__min_samples_leaf': 15, 'model__min_samples_split': 8}",0.6441947565543071,0.5692883895131086,0.6165413533834586,0.6100081664836248,0.03092736495003317,18,0.6571880301994887,0.5751571369624657,0.6311797192095283,0.6211749621238276,0.034228041472588656,18,0.7118983957219251,0.6560494652406417,0.6863575268817205,0.6847684626147624,0.022827901099447007,16
0.03055890401204427,0.004034605074987935,0.028603235880533855,0.0022174962809486266,balanced,8,15,4,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 15, 'model__min_samples_split': 4}",0.704119850187266,0.6254681647940075,0.6466165413533834,0.6587348521115522,0.033233136029407875,15,0.7158902568069819,0.6407143760267457,0.6608663873906189,0.672490340074782,0.03177200518038715,12,0.7328208556149733,0.6827205882352941,0.7059139784946236,0.7071518074482969,0.0204720681786632,12
0.03246879577636719,0.005531561958168196,0.031777381896972656,0.004271881473647107,balanced,17,4,19,"{'model__class_weight': 'balanced', 'model__max_depth': 17, 'model__min_samples_leaf': 4, 'model__min_samples_split': 19}",0.6629213483146067,0.6591760299625468,0.6578947368421053,0.6599973717064196,0.0021327067963883644,13,0.6690929669533281,0.6705212467986963,0.6675067041452618,0.669040305965762,0.0012312450980078457,13,0.6651069518716577,0.6981951871657754,0.6930107526881721,0.6854376305752018,0.014530931666005812,13
0.02700630823771159,0.0017553526971499835,0.028899272282918293,0.00012116377039425256,balanced,4,2,7,"{'model__class_weight': 'balanced', 'model__max_depth': 4, 'model__min_samples_leaf': 2, 'model__min_samples_split': 7}",0.6067415730337079,0.6629213483146067,0.6541353383458647,0.6412660865647264,0.02467461608897991,16,0.6196473817011436,0.6769197306350723,0.6673699555009974,0.6546456892790711,0.02505275369119145,15,0.6781417112299465,0.7052807486631015,0.6698924731182796,0.6844383110037758,0.015117713408292533,18
0.027636369069417317,0.0012502951309284749,0.02891365687052409,0.0008511186937174228,balanced,10,4,19,"{'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__min_samples_leaf': 4, 'model__min_samples_split': 19}",0.6629213483146067,0.6591760299625468,0.6578947368421053,0.6599973717064196,0.0021327067963883644,13,0.6690929669533281,0.6705212467986963,0.6675067041452618,0.669040305965762,0.0012312450980078457,13,0.6677473262032085,0.6981951871657754,0.6901881720430108,0.6853768951373316,0.01288744475309963,14
0.02869550387064616,0.0007920780566389099,0.026758193969726562,0.0004946912620095564,balanced,12,2,11,"{'model__class_weight': 'balanced', 'model__max_depth': 12, 'model__min_samples_leaf': 2, 'model__min_samples_split': 11}",0.6329588014981273,0.6479400749063671,0.6428571428571429,0.6412520064205457,0.006220502952236611,17,0.6449009094582828,0.6588298788005675,0.6551591158005151,0.6529633013531219,0.0058946443234579576,16,0.6607286096256684,0.6598596256684492,0.67627688172043,0.6656217056715158,0.007542694733073007,20
0.025857925415039062,0.0006731086708495643,0.027624845504760742,0.0014298486101000972,balanced,4,14,17,"{'model__class_weight': 'balanced', 'model__max_depth': 4, 'model__min_samples_leaf': 14, 'model__min_samples_split': 17}",0.7116104868913857,0.6329588014981273,0.6466165413533834,0.6637286099142988,0.03431364229792699,11,0.722604232796139,0.64822012316889,0.6612150033202665,0.6773464530950984,0.032438831618273926,10,0.7688836898395722,0.7164104278074866,0.7134072580645162,0.732900458570525,0.02547350854708443,4
0.02562999725341797,0.0008407574419658126,0.025639136632283527,0.0018397682838634485,,8,14,9,"{'model__class_weight': None, 'model__max_depth': 8, 'model__min_samples_leaf': 14, 'model__min_samples_split': 9}",0.7453183520599251,0.6779026217228464,0.7293233082706767,0.7175147606844826,0.02876110245096067,3,0.7320921312127956,0.6727991223425939,0.7168942765075955,0.7072618433543284,0.025146279400865328,3,0.7655414438502675,0.6614639037433154,0.7414314516129032,0.722812266402162,0.04448249942102673,5
0.02440802256266276,0.0008701308586886193,0.02254033088684082,0.0004088116038083921,,16,13,19,"{'model__class_weight': None, 'model__max_depth': 16, 'model__min_samples_leaf': 13, 'model__min_samples_split': 19}",0.7528089887640449,0.6779026217228464,0.7142857142857143,0.7149991082575352,0.030584556604567156,5,0.7414263714953843,0.6727991223425939,0.7011661807580175,0.7051305581986652,0.02815684698184712,4,0.7682820855614974,0.670120320855615,0.7186491935483872,0.7190171999884999,0.040075217479952414,7
0.023802677790323894,0.0019581895465544596,0.02136532465616862,0.002018779527927867,,13,9,16,"{'model__class_weight': None, 'model__max_depth': 13, 'model__min_samples_leaf': 9, 'model__min_samples_split': 16}",0.7378277153558053,0.6816479400749064,0.6879699248120301,0.7024818600809141,0.02512620128589915,9,0.7257552424951045,0.6759010559332952,0.6745279152607536,0.6920614045630512,0.023831735351141293,7,0.7612633689839572,0.669552139037433,0.7230174731182795,0.7179443270465565,0.037612409591116204,8
